Gene1	Gene2
AAD4	CSM3
AAD4	CWC25_damp
AAD4	DER1
AAD4	ECM2
AAD4	ELA1
AAD4	ELM1
AAD4	ELP2
AAD4	EMI1
AAD4	ERR1
AAD4	ERV15
AAD4	FAR3
AAD4	FET5
AAD4	FLX1
AAD4	GLC7_damp
AAD4	HAL5
AAD4	HAP5
AAD4	HDA3
AAD4	HHT1
AAD4	HMG1
AAD4	HOM6
AAD4	IOC4
AAD4	IRC23
AAD4	KES1
AAD4	MEK1
AAD4	MGM1
AAD4	MNE1
AAD4	MSC1
AAD4	MSS1
AAD4	MSS11
AAD4	NPT1
AAD4	NUP100
AAD4	PDC1
AAD4	PDR17
AAD4	POL32
AAD4	PUS4
AAD4	RIM1
AAD4	RPL13A
AAD4	SKI3
AAD4	SLM1
AAD4	SVL3
AAD4	TGL4
AAD4	TIF5_damp
AAD4	TOM70
AAD4	UBR1
AAD4	YCR016W
AAD4	YEL020C
AAD4	YJR096W
AAD4	YLR152C
AAD4	YMR210W
AAD4	YNL122C
AAD4	YPT31
AAD4	YSC83
AAD4	YSP3
AAD4	abd1-5
AAD4	cdc10-4
AAD4	cdc23-1
AAD4	cdc43-2
AAD4	met30-9
AAD4	mps1-1
AAD4	pkc1-4
AAD4	pol12-ts
AAD4	prp4-1
AAD4	smc1-2
AAD6	ATG11
AAD6	BUB3
AAD6	COX10
AAD6	DAN4
AAD6	DAP2
AAD6	DEP1
AAD6	DPB3
AAD6	ECM2
AAD6	ERG11_damp
AAD6	ERV46
AAD6	GAL2
AAD6	GSG1
AAD6	GYP6
AAD6	JID1
AAD6	MGR2
AAD6	MSS2
AAD6	NCS6
AAD6	PAH1
AAD6	PBS2
AAD6	PDR17
AAD6	PHO23
AAD6	PMP3
AAD6	PSD2
AAD6	PUS5
AAD6	RHO2
AAD6	RTC6
AAD6	RUP1
AAD6	SEC28
AAD6	SHY1
AAD6	SIP4
AAD6	SSY1_damp
AAD6	SWF1
AAD6	TGL4
AAD6	TOR1
AAD6	UBR1
AAD6	YBR141C
AAD6	YDR124W
AAD6	YGR012W
AAD6	YGR021W
AAD6	arp2-14
AAD6	cdc3-1
AAD6	mcm2-1
AAD6	med7-163
AAD6	ycs4-1
AAH1	ACF4
AAH1	AIM44
AAH1	ALG8
AAH1	APQ12
AAH1	ARO1
AAH1	ARX1
AAH1	BCK1
AAH1	BEM1
AAH1	BIK1
AAH1	BUD27
AAH1	CDA1
AAH1	CHS5
AAH1	CLA4
AAH1	CRF1
AAH1	CSM1
AAH1	CTF18
AAH1	CWH41
AAH1	DAL81
AAH1	DID4
AAH1	DOG2
AAH1	"DUR1,2"
AAH1	EAF5
AAH1	ECM33
AAH1	ELC1
AAH1	ELP2
AAH1	ELP4
AAH1	ENT5
AAH1	EST1
AAH1	EXO1
AAH1	FAR3
AAH1	FET5
AAH1	FKS1
AAH1	FMO1
AAH1	FMP52
AAH1	GCN5
AAH1	GET1
AAH1	GET2
AAH1	GLO4
